Sitio,Trans,Hora,DistCostaMetros,MC,MCL,R_OJO,RAYA,PGLOBO,R_CUERPO,R_AMARILLO,M_UROP,ANCHOA,R_ROJAS,AGUJA,T.griseus,CAFE,CROJA,Vacio
Dzilam Bravo,T1,Manana,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,4,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,6,4,0,1,0,0,0,0,7,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,8,13,0,4,0,1,0,2,3,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,10,7,1,1,0,0,0,8,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,12,15,0,2,0,0,9,0,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,14,13,1,1,0,1,11,0,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,18,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,20,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Tarde,2,6,1,0,0,0,0,4,0,0,0,0,0,1,0,1
Dzilam Bravo,T1,Tarde,4,22,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Tarde,6,21,0,0,0,0,0,3,0,0,0,0,0,0,1,1
Dzilam Bravo,T1,Tarde,8,14,0,2,0,0,1,0,1,0,0,0,0,0,0,1
Dzilam Bravo,T1,Tarde,10,11,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Dzilam Bravo,T1,Tarde,12,12,12,0,0,1,5,0,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Tarde,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Tarde,16,5,0,0,0,0,0,0,6,0,0,0,0,0,0,1
Dzilam Bravo,T1,Tarde,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Tarde,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1
