Sitio,Trans,Hora,DistCostaMetros,Abundancia ,MC,MCL,R_OJO,RAYA,PGLOBO,R_CUERPO,R_AMARILLO,M_UROP,ANCHOA,R_ROJAS,AGUJA,T.griseus,CAFE,CROJA,Vacio
Dzilam Bravo,T1,Manana,2,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,4,6,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,6,12,4,0,1,0,0,0,0,7,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,8,23,13,0,4,0,1,0,2,3,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,10,17,7,1,1,0,0,0,8,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,12,26,15,0,2,0,0,9,0,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,14,27,13,1,1,0,1,11,0,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,16,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,18,5,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1
Dzilam Bravo,T1,Manana,20,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Tarde,2,12,6,1,0,0,0,0,4,0,0,0,0,0,1,0,1
Dzilam Bravo,T1,Tarde,4,23,22,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Tarde,6,25,21,0,0,0,0,0,3,0,0,0,0,0,0,1,1
Dzilam Bravo,T1,Tarde,8,18,14,0,2,0,0,1,0,1,0,0,0,0,0,0,1
Dzilam Bravo,T1,Tarde,10,13,11,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Dzilam Bravo,T1,Tarde,12,30,12,12,0,0,1,5,0,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Tarde,14,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Tarde,16,11,5,0,0,0,0,0,0,6,0,0,0,0,0,0,1
Dzilam Bravo,T1,Tarde,18,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dzilam Bravo,T1,Tarde,20,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dzilam Bravo,T2,Manana,2,29,5,0,1,0,0,0,8,15,0,0,0,0,0,0,1
Dzilam Bravo,T2,Manana,4,37,4,0,1,0,0,0,11,0,21,0,0,0,0,0,1
Dzilam Bravo,T2,Manana,6,43,4,0,0,0,0,0,16,0,23,0,0,0,0,0,1
Dzilam Bravo,T2,Manana,8,28,7,0,0,0,0,0,1,0,20,0,0,0,0,0,1
Dzilam Bravo,T2,Manana,10,25,2,1,0,0,0,2,3,1,16,0,0,0,0,0,1
Dzilam Bravo,T2,Manana,12,17,1,0,0,0,0,0,1,1,14,0,0,0,0,0,1
Dzilam Bravo,T2,Manana,14,10,3,1,0,0,0,1,4,0,0,1,0,0,0,0,1
Dzilam Bravo,T2,Manana,16,16,4,0,0,0,0,0,6,0,6,0,0,0,0,0,1
Dzilam Bravo,T2,Manana,18,14,11,0,0,0,0,0,1,0,2,0,0,0,0,0,1
